what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1411483785890
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1411483785920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1411483785950
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1411483785981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483792391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483793735
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1411483798215
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411483802390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411483818453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411483822308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411483824662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1411483827061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483833485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483850787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411483851829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483858648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483862135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411483863144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411483863652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411483875079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411483879102
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411483885093
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1411483892250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483893308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483894479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483895155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483932690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483942403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483944820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1411483947297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483950745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411483952429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411483956641
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1411483963157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484008440
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484038947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484042152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484148204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484149584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484151104
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411484154660
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1411484157250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484162365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484164271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484166473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484167812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484169463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484173792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484178178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484180162
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411484184123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484184784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484186686
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1411484191149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484201375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484202259
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411484206372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411484214224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484230371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484243630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484244864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484245249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484246067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484269134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484281914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484283091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484284226
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484384743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484385278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484406505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484407141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484407567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484408148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484409655
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1411484411913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484418224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484419144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484423715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484424055
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1411484425635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484519958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484524951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484525827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484547805
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484550097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484551403
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411484555751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411484568697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484569840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484571531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484572023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484657898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484668050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484668898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484671933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484673536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484676567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484722651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484729263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484770791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484772358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484781944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484783125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484788161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484796300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484798893
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1411484800231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411484804198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484813473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411484814872
