what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1411737512358
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1411737512358
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1411737512358
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411737512358
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1411737512358
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411737512358
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1411737512358
started,bundle,com.python.pydev,2.8.2.2013090511,"com.python.pydev",1411737512384
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1411737512434
started,bundle,com.python.pydev.codecompletion,2.8.2.2013090511,"com.python.pydev.codecompletion",1411737512463
started,bundle,com.python.pydev.refactoring,2.8.2.2013090511,"com.python.pydev.refactoring",1411737512559
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1411737512587
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1411737512609
started,bundle,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug",1411737512637
started,bundle,org.python.pydev.django,2.8.2.2013090511,"org.python.pydev.django",1411737512661
started,bundle,org.python.pydev.parser,2.8.2.2013090511,"org.python.pydev.parser",1411737512677
started,bundle,org.python.pydev.refactoring,2.8.2.2013090511,"org.python.pydev.refactoring",1411737512715
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1411737512730
started,bundle,org.python.pydev.shared_interactive_console,2.8.2.2013090511,"org.python.pydev.shared_interactive_console",1411737512769
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1411737512779
os,sysinfo,,,"linux",1411737512782
arch,sysinfo,,,"x86",1411737512782
ws,sysinfo,,,"gtk",1411737512782
locale,sysinfo,,,"en_US",1411737512782
processors,sysinfo,,,"4",1411737512782
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1411737512782
java.runtime.version,sysinfo,,,"1.7.0_25-b30",1411737512782
java.specification.name,sysinfo,,,"Java Platform API Specification",1411737512782
java.specification.vendor,sysinfo,,,"Oracle Corporation",1411737512782
java.specification.version,sysinfo,,,"1.7",1411737512782
java.vendor,sysinfo,,,"Oracle Corporation",1411737512782
java.version,sysinfo,,,"1.7.0_25",1411737512782
java.vm.info,sysinfo,,,"mixed mode, sharing",1411737512782
java.vm.name,sysinfo,,,"OpenJDK Client VM",1411737512782
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411737512782
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1411737512782
java.vm.specification.version,sysinfo,,,"1.7",1411737512782
java.vm.vendor,sysinfo,,,"Oracle Corporation",1411737512782
java.vm.version,sysinfo,,,"23.7-b01",1411737512782
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1411737512784
started,bundle,org.python.pydev.jython,2.8.2.2013090511,"org.python.pydev.jython",1411737512839
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411737512870
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411737519800
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1411737523329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411737658250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411737658893
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411737661770
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411737661800
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1411737671477
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1411737686280
