what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661343039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661343340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661343922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661344208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661344836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661345100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661346125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661346436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661347027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661347293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661349226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661349535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661350210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661350506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661369164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661369497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661372140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661372421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661373464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661373737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661375554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661375814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661376705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661378282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661385626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661385887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661386929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661387223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661387982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661388337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661389424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661389739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661390735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661391047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661392218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661392518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661402800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661403102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661403773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661404079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661404801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661405045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661406016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661406271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661406898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661407175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661407725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661408037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661420000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661420290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661420908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661421155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411661423116
