what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411735885048
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1411735885218
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1411735885357
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411735887920
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411735887948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735977632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735978356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735978865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735979529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735980079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735980700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735981688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735982160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735983263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735984233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735984770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735985191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735985832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735986245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735987103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735987715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735988437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735988928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735990253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735990747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735992071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735992664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735993570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735994268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735995421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735995871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735996896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411735997304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736000944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736001977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736003057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736003722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736004205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736004622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736016945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736018265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736018655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736133895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736139024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736152647
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411736153537
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1411736155463
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1411736156105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736159982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1411736179418
