city,tweet
Alabama,13
Alaska,23
Arizona,42
Arkansas,21
California,43
Colorado,23
Connecticut,34
Delaware,23
District of Columbia,43
Florida,54
Georgia,32
Hawaii,23
Idaho,43
Illinois,23
Indiana,43
Iowa,34
Kansas,43
Kentucky,65
Louisiana,43
Maine,23
Maryland,98
Massachusetts,76
Michigan,32
Minnesota,43
Mississippi,54
Missouri,23
Montana,53
Nebraska,13
Nevada,23
New Hampshire,12
New Jersey,64
New Mexico,45
New York,34
North Carolina,12
North Dakota,32
Ohio,12
Oklahoma,42
Oregon,32
Pennsylvania,12
Rhode Island,42
South Carolina,54
South Dakota,32
Tennessee,23
Texas,12
Utah,32
Vermont,13
Virginia,19
Washington,32
West Virginia,12
Wisconsin,32
Wyoming,31
